------------------------------------------------------ 
:: Load Love Numbers (Load-Deformation Coefficients) 
:: Computed at 05:51AM on August 19, 2022
------------------------------------------------------ 
:: Material Parameters 
Planet-Radius (m) | Planet-Mass (kg) | Lambda-Surface (Pa) | Mu-Surface (Pa) | Gravity-Surface (m/s^2) 
6371000.0 5.973244410589292e+24 34216026218.044174 26623910437.00864 9.818634933837371
------------------------------------------------------ 
:: Asymptotic Love Numbers 
hp     |     hpp     |     nlp     |     nlpp     |     nkp     |     nkpp 
-6.208751859010017 6.152341551250569 1.88993805916064 -0.25281039086602725 -2.6824947170971263 8.041777290864731
------------------------------------------------------ 
******************   Love Numbers   ****************** 
n   |   h   |   nl   |   nk | h_asymptotic | nl_asymptotic | nk_asymptotic 
     27   -2.0109393705    0.3966072973   -3.4167438747   -5.9808873571    1.8805747114   -2.3846511137
     28   -2.0357139219    0.4061371584   -3.5510040550   -5.9890253750    1.8809091166   -2.3952883853
     29   -2.0592976523    0.4154756538   -3.6826634289   -5.9966021503    1.8812204595   -2.4051920519
     30   -2.0854097443    0.4289534158   -3.7512590720   -6.0036738073    1.8815110461   -2.4144354741
     31   -2.1069700330    0.4381422573   -3.8725017951   -6.0102892283    1.8817828853   -2.4230825464
     32   -2.1275773632    0.4471924411   -3.9899051250   -6.0164911855    1.8820377344   -2.4311891768
     33   -2.1473043304    0.4561241755   -4.1030982916   -6.0223172665    1.8822771382   -2.4388044962
     34   -2.1662198561    0.4649584356   -4.2117071911   -6.0278006369    1.8825024594   -2.4459718556
     35   -2.1801873253    0.4684513558   -4.3975551707   -6.0329706718    1.8827149051   -2.4527296516
     36   -2.1975597962    0.4769588483   -4.5007293172   -6.0378534826    1.8829155483   -2.4591120146
     37   -2.2143056750    0.4854308735   -4.5983282930   -6.0424723576    1.8831053459   -2.4651493849
     38   -2.2304792202    0.4938885527   -4.6899633369   -6.0468481340    1.8832851541   -2.4708689989
     39   -2.2461312354    0.5023526806   -4.7752408318   -6.0509995115    1.8834557414   -2.4762952994
     40   -2.2565445554    0.5046169738   -4.9615916384   -6.0549433202    1.8836177994   -2.4814502848
     41   -2.2711824219    0.5129471480   -5.0386004759   -6.0586947480    1.8837719521   -2.4863538076
     42   -2.2862972502    0.5211519802   -5.1074644160   -6.0622675364    1.8839187641   -2.4910238292
     43   -2.2951160426    0.5228110840   -5.2941280152   -6.0656741485    1.8840587477   -2.4954766406
     44   -2.3116945546    0.5304730285   -5.3511323805   -6.0689259147    1.8841923685   -2.4997270514
     45   -2.3196531625    0.5317217913   -5.5391300321   -6.0720331579    1.8843200505   -2.5037885551
     46   -2.3358012722    0.5393396462   -5.5849887737   -6.0750053035    1.8844421811   -2.5076734716
     47   -2.3518679761    0.5470677867   -5.6215513735   -6.0778509749    1.8845591147   -2.5113930726
     48   -2.3588613567    0.5478577506   -5.8075427860   -6.0805780767    1.8846711760   -2.5149576902
     49   -2.3746675601    0.5556274268   -5.8312275447   -6.0831938682    1.8847786634   -2.5183768132
     50   -2.3810864910    0.5561237664   -6.0172754720   -6.0857050280    1.8848818513   -2.5216591713
     51   -2.3871589957    0.5564243578   -6.2065315284   -6.0881177109    1.8849809927   -2.5248128094
     52   -2.4026604302    0.5642257477   -6.2126400314   -6.0904375984    1.8850763209   -2.5278451538
     53   -2.4082873376    0.5642881809   -6.4013728381   -6.0926699429    1.8851680518   -2.5307630701
     54   -2.4237428415    0.5722445414   -6.3920617704   -6.0948196081    1.8852563853   -2.5335729154
     55   -2.4289963618    0.5721009883   -6.5797872483   -6.0968911035    1.8853415066   -2.5362805845
     56   -2.4444726596    0.5802549218   -6.5539377283   -6.0988886170    1.8854235879   -2.5388915512
     57   -2.4494158010    0.5799343057   -6.7401646517   -6.1008160423    1.8855027891   -2.5414109050
     58   -2.4541312673    0.5794707156   -6.9292791256   -6.1026770047    1.8855792593   -2.5438433845
     59   -2.4696588462    0.5878551228   -6.8808660957   -6.1044748836    1.8856531373   -2.5461934071
     60   -2.4741439316    0.5872517836   -7.0678722599   -6.1062128332    1.8857245526   -2.5484650956
     61   -2.4784374144    0.5865225065   -7.2576554984   -6.1078938008    1.8857936265   -2.5506623025
     62   -2.4941244241    0.5952063093   -7.1846139835   -6.1095205437    1.8858604722   -2.5527886318
     63   -2.4982533235    0.5943692188   -7.3716693440   -6.1110956439    1.8859251958   -2.5548474585
     64   -2.5022203622    0.5934205223   -7.5613890055   -6.1126215223    1.8859878968   -2.5568419469
     65   -2.3192052351    0.4200768743  -12.9344023151   -6.1141004505    1.8860486685   -2.5587750665
     66   -2.3199530710    0.4169998815  -13.2798745185   -6.1155345628    1.8861075987   -2.5606496066
     67   -2.3205601078    0.4138565569  -13.6297940773   -6.1169258657    1.8861647697   -2.5624681904
     68   -2.3210335902    0.4106506623  -13.9841446908   -6.1182762480    1.8862202593   -2.5642332863
     69   -2.3380653207    0.4258210935  -13.7537507021   -6.1195874887    1.8862741405   -2.5659472201
     70   -2.3385406208    0.4226725248  -14.1012521953   -6.1208612654    1.8863264821   -2.5676121844
     71   -2.3389019576    0.4194681128  -14.4529793613   -6.1220991611    1.8863773494   -2.5692302482
     72   -2.3391550467    0.4162109341  -14.8089169780   -6.1233026708    1.8864268037   -2.5708033658
     73   -2.3569349211    0.4325850503  -14.5092048048   -6.1244732076    1.8864749031   -2.5723333843
     74   -2.3572366928    0.4294042441  -14.8569621806   -6.1256121083    1.8865217025   -2.5738220510
     75   -2.3574457940    0.4261758702  -15.2087287032   -6.1267206383    1.8865672539   -2.5752710199
     76   -2.3575667727    0.4229024778  -15.5644903354   -6.1277999965    1.8866116066   -2.5766818580
     77   -2.3761733953    0.4405878118  -15.1888568316   -6.1288513194    1.8866548073   -2.5780560510
     78   -2.3763804690    0.4374080247  -15.5350865355   -6.1298756853    1.8866969003   -2.5793950082
     79   -2.3765119158    0.4341872823  -15.8851135640   -6.1308741179    1.8867379276   -2.5807000678
     80   -2.3765713831    0.4309277231  -16.2389251146   -6.1318475896    1.8867779293   -2.5819725010
     81   -2.3765623260    0.4276313888  -16.5965082916   -6.1327970250    1.8868169432   -2.5832135160
